"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2016"
"Central Europe and the Baltics","CEB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Central Europe and the Baltics","CEB","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Central Europe and the Baltics","CEB","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Central Europe and the Baltics","CEB","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Central Europe and the Baltics","CEB","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Central Europe and the Baltics","CEB","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Early-demographic dividend","EAR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",50.3688709187217
"Early-demographic dividend","EAR","Access to electricity (% of population)","EG.ELC.ACCS.ZS",86.7516274576338
"Early-demographic dividend","EAR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",77.7361909118756
"Early-demographic dividend","EAR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",98.0596404868925
"Early-demographic dividend","EAR","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Early-demographic dividend","EAR","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Early-demographic dividend","EAR","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Early-demographic dividend","EAR","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Early-demographic dividend","EAR","GINI index (World Bank estimate)","SI.POV.GINI",NA
"East Asia & Pacific","EAS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",61.2801174452097
"East Asia & Pacific","EAS","Access to electricity (% of population)","EG.ELC.ACCS.ZS",96.9142418247926
"East Asia & Pacific","EAS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.1138696719251
"East Asia & Pacific","EAS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",98.9806870621643
"East Asia & Pacific","EAS","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"East Asia & Pacific","EAS","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"East Asia & Pacific","EAS","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"East Asia & Pacific","EAS","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"East Asia & Pacific","EAS","GINI index (World Bank estimate)","SI.POV.GINI",NA
"East Asia & Pacific (excluding high income)","EAP","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",57.3426815635153
"East Asia & Pacific (excluding high income)","EAP","Access to electricity (% of population)","EG.ELC.ACCS.ZS",96.5807321938037
"East Asia & Pacific (excluding high income)","EAP","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",93.9887841071843
"East Asia & Pacific (excluding high income)","EAP","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",98.7947949826839
"East Asia & Pacific (excluding high income)","EAP","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"East Asia & Pacific (excluding high income)","EAP","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"East Asia & Pacific (excluding high income)","EAP","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"East Asia & Pacific (excluding high income)","EAP","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"East Asia & Pacific (excluding high income)","EAP","GINI index (World Bank estimate)","SI.POV.GINI",NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",57.9252355675357
"East Asia & Pacific (IDA & IBRD countries)","TEA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.2980303313578
"East Asia & Pacific (IDA & IBRD countries)","TEA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.5662101622372
"East Asia & Pacific (IDA & IBRD countries)","TEA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.6401222298763
"East Asia & Pacific (IDA & IBRD countries)","TEA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Euro area","EMU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",99.6872119311058
"Euro area","EMU","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Euro area","EMU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Euro area","EMU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Euro area","EMU","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Euro area","EMU","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Euro area","EMU","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Euro area","EMU","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Euro area","EMU","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Europe & Central Asia","ECS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",97.3186710949689
"Europe & Central Asia","ECS","Access to electricity (% of population)","EG.ELC.ACCS.ZS",99.9999740069806
"Europe & Central Asia","ECS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",99.9999100030095
"Europe & Central Asia","ECS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Europe & Central Asia","ECS","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Europe & Central Asia","ECS","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Europe & Central Asia","ECS","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Europe & Central Asia","ECS","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Europe & Central Asia","ECS","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Europe & Central Asia (excluding high income)","ECA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",93.7846550452071
"Europe & Central Asia (excluding high income)","ECA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",99.9999432168451
"Europe & Central Asia (excluding high income)","ECA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",99.999836176998
"Europe & Central Asia (excluding high income)","ECA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Europe & Central Asia (excluding high income)","ECA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Europe & Central Asia (excluding high income)","ECA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Europe & Central Asia (excluding high income)","ECA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Europe & Central Asia (excluding high income)","ECA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Europe & Central Asia (excluding high income)","ECA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",94.4155824833871
"Europe & Central Asia (IDA & IBRD countries)","TEC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",99.9999479515216
"Europe & Central Asia (IDA & IBRD countries)","TEC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",99.9998515536991
"Europe & Central Asia (IDA & IBRD countries)","TEC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Europe & Central Asia (IDA & IBRD countries)","TEC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"European Union","EUU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",98.9705127059843
"European Union","EUU","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"European Union","EUU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"European Union","EUU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"European Union","EUU","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"European Union","EUU","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"European Union","EUU","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"European Union","EUU","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"European Union","EUU","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Latin America & Caribbean","LCN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",87.0038229172118
"Latin America & Caribbean","LCN","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.7976107403779
"Latin America & Caribbean","LCN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.3729595308629
"Latin America & Caribbean","LCN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.4648295201043
"Latin America & Caribbean","LCN","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Latin America & Caribbean","LCN","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Latin America & Caribbean","LCN","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Latin America & Caribbean","LCN","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Latin America & Caribbean","LCN","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Latin America & Caribbean (excluding high income)","LAC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",86.7423748150694
"Latin America & Caribbean (excluding high income)","LAC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.7012515204793
"Latin America & Caribbean (excluding high income)","LAC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.1938544274201
"Latin America & Caribbean (excluding high income)","LAC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.4389707071961
"Latin America & Caribbean (excluding high income)","LAC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Latin America & Caribbean (excluding high income)","LAC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Latin America & Caribbean (excluding high income)","LAC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Latin America & Caribbean (excluding high income)","LAC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Latin America & Caribbean (excluding high income)","LAC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",87.1295978526684
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.7429792788864
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.2280125969155
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.4509750518176
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Least developed countries: UN classification","LDC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",13.9369199521221
"Least developed countries: UN classification","LDC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",44.7873624357584
"Least developed countries: UN classification","LDC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",33.6062816259837
"Least developed countries: UN classification","LDC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",74.6576467234142
"Least developed countries: UN classification","LDC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Least developed countries: UN classification","LDC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Least developed countries: UN classification","LDC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Least developed countries: UN classification","LDC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Least developed countries: UN classification","LDC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Low & middle income","LMY","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",51.8032535796594
"Low & middle income","LMY","Access to electricity (% of population)","EG.ELC.ACCS.ZS",84.9922209907749
"Low & middle income","LMY","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",75.73460692884
"Low & middle income","LMY","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",96.0121579198452
"Low & middle income","LMY","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Low & middle income","LMY","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Low & middle income","LMY","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Low & middle income","LMY","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Low & middle income","LMY","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Low income","LIC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",7.2500949644696
"Low income","LIC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",34.9996012606327
"Low income","LIC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",23.9633873098201
"Low income","LIC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",64.6463905291664
"Low income","LIC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Low income","LIC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Low income","LIC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Low income","LIC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Low income","LIC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Lower middle income","LMC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",43.6500611890034
"Lower middle income","LMC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",83.5710835885925
"Lower middle income","LMC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",75.8093054065667
"Lower middle income","LMC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",96.1072399046087
"Lower middle income","LMC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Lower middle income","LMC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Lower middle income","LMC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Lower middle income","LMC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Lower middle income","LMC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Middle East & North Africa","MEA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",94.9778199194774
"Middle East & North Africa","MEA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",98.031631832295
"Middle East & North Africa","MEA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",95.0041059477056
"Middle East & North Africa","MEA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.770285050842
"Middle East & North Africa","MEA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Middle East & North Africa","MEA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Middle East & North Africa","MEA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Middle East & North Africa","MEA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Middle East & North Africa","MEA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Middle East & North Africa (excluding high income)","MNA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",94.5654364261815
"Middle East & North Africa (excluding high income)","MNA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.6998070669466
"Middle East & North Africa (excluding high income)","MNA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.7104193513625
"Middle East & North Africa (excluding high income)","MNA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.7153020228591
"Middle East & North Africa (excluding high income)","MNA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Middle East & North Africa (excluding high income)","MNA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Middle East & North Africa (excluding high income)","MNA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Middle East & North Africa (excluding high income)","MNA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Middle East & North Africa (excluding high income)","MNA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",94.5654364261815
"Middle East & North Africa (IDA & IBRD countries)","TMN","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.6714473650241
"Middle East & North Africa (IDA & IBRD countries)","TMN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",94.6697313752741
"Middle East & North Africa (IDA & IBRD countries)","TMN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.7109329945737
"Middle East & North Africa (IDA & IBRD countries)","TMN","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Middle income","MIC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",57.1470787450619
"Middle income","MIC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",90.8832437311946
"Middle income","MIC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",83.4205588470612
"Middle income","MIC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",98.2566514046493
"Middle income","MIC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Middle income","MIC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Middle income","MIC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Middle income","MIC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Middle income","MIC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"North America","NAC","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"North America","NAC","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"North America","NAC","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"North America","NAC","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"North America","NAC","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"North America","NAC","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"North America","NAC","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"North America","NAC","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"North America","NAC","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Not classified","INX","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",NA
"Not classified","INX","Access to electricity (% of population)","EG.ELC.ACCS.ZS",NA
"Not classified","INX","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",NA
"Not classified","INX","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",NA
"Not classified","INX","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Not classified","INX","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Not classified","INX","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Not classified","INX","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Not classified","INX","GINI index (World Bank estimate)","SI.POV.GINI",NA
"OECD members","OED","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",98.088355833006
"OECD members","OED","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"OECD members","OED","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"OECD members","OED","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"OECD members","OED","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"OECD members","OED","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"OECD members","OED","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
